item_id,item_name,item_description,current_price,store,category_tags,image_url,price_date
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,705.18,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,1/15/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,693.26,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,2/15/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,719.03,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,3/18/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,714.89,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,4/20/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,707.42,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,5/21/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,696.32,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,6/24/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,672.25,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,7/27/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,685.8,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,8/24/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,733.55,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,9/21/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,735.04,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,10/25/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,651.29,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,11/23/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,652.05,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,12/23/2022
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,732.71,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,1/23/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,733.02,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,2/22/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,719.77,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,3/22/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,745.46,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,4/26/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,756.36,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,5/30/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,735.12,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,6/29/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,732.02,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,8/2/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,765.91,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,9/2/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,734.72,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,10/4/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,708.66,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,11/1/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,678.66,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,11/29/2023
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,766.96,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,1/2/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,739.74,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,2/5/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,764.51,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,3/7/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,757.7,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,4/6/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,753.74,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,5/7/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,785.17,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,6/10/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,757.2,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,7/8/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,746.2,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,8/5/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,789.81,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,9/8/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,769.28,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,10/10/2024
1001,Samsung 55-inch 4K Smart TV,55-inch Crystal UHD Smart TV with HDR,697.94,Walmart,"electronics,entertainment,home",https://cdn.thewirecutter.com/wp-content/media/2024/12/BVEST-32-INCH-TVS-2048px-2870-3x2-1.jpg,11/11/2024
